,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1980.0,17.0,20.0,0.0,67.0
1,1970.0,3.0,30.0,1.0,70.0
2,1967.0,0.0,33.0,2.0,70.0
3,1967.0,0.0,33.0,3.0,70.0
4,1967.0,0.0,33.0,4.0,70.0
5,1967.0,0.0,33.0,5.0,70.0
6,1967.0,0.0,33.0,6.0,70.0
7,1967.0,0.0,33.0,7.0,70.0
8,1967.0,0.0,33.0,8.0,70.0
9,1967.0,0.0,33.0,9.0,70.0
10,1967.0,0.0,33.0,10.0,70.0
11,1967.0,0.0,33.0,11.0,70.0
12,1967.0,0.0,33.0,12.0,70.0
13,1967.0,0.0,33.0,13.0,70.0
14,1967.0,0.0,33.0,14.0,70.0
15,1967.0,0.0,33.0,15.0,70.0
16,1967.0,0.0,33.0,16.0,70.0
17,1967.0,0.0,33.0,17.0,70.0
18,1967.0,0.0,33.0,18.0,70.0
19,1967.0,0.0,33.0,19.0,70.0
20,1967.0,0.0,33.0,20.0,70.0
